PostId;Fixed;Type;Comment;AdditionalComment;CommentSB;CommentLD
7893947;1;text;GT updated;;;
32346180;1;text;GT updated;;;
22507249;1;text;GT updated;;;
1366329;1;text;GT updated;;;
7837122;1;text;GT updated;;;
29071745;1;text;GT updated;;;
42237737;1;text;GT updated;;;
32733285;1;text;GT updated;;;
3872793;1;text;GT updated;;;
23674146;1;text;GT updated;;;
21120863;1;text;GT updated;;;
29342855;0;text;GT needs to be done;;metric is correct;GT updated
25488162;0;text;GT needs to be done;2 cases with false positives. Fixed one in version 1 and 2.;GT is correct;GT updated
29443655;1;text;GT updated;2x;;
15037082;1;text;GT updated;;;
27803362;1;text;GT updated;;;
38463455;1;text;GT updated;;;
36741782;1;text;GT updated;6x;;
31054664;1;text;GT updated;;;
26953938;1;text;GT updated;;;
38113915;0;text;GT needs to be done;;matches due to same linked content, nevertheless keep GT;ok
12633603;1;text;GT updated;;;
32960600;0;text;GT needs to be done;;two text blocks merged, move to unclear matching sample?;moved to unclear matching sample
44149391;1;text;GT updated;;;
32205729;1;text;GT updated;2x;;
13081285;1;text;GT updated;;;
25160608;1;text;GT updated;2x;;
39554022;1;text;GT updated;2x;;
27874548;1;text;GT updated;;;
4696621;1;text;GT updated;;;
32801275;0;text;matched predecessors are already equal to GT;;;
2579869;1;text;GT updated;;;
7016109;0;text;semantically similar, syntactically too different;;small text block subset of larger one;
41480290;1;text;GT updated;;;
40207874;1;text;GT updated;;;
24848884;0;text;matched predecessors are already equal to GT;;;
39313130;1;text;GT updated;;;
19612096;1;text;GT updated;;;
37196630;1;text;GT updated;Test cases for predecessors from version 7 to versions 6?;;
26578247;1;text;matched predecessors are already equal to GT;;;
28623462;1;text;GT updated;;;
35398661;1;text;GT updated;3x;;
19472769;1;text;GT needs to be done;updated GT in one case;GT is correct;ok
10463373;1;text;GT updated;;;
37675890;1;text;GT updated;GT repaired;;
14159368;0;text;semantically similar, syntactically too different;test cases? --- updated GT in one case;;
23217455;1;text;GT updated;;;
29885702;1;text;GT updated;;;
2769255;1;text;GT updated;;;
25547131;1;text;GT updated;2x;;
16581752;0;text;GT needs to be done;;borderline, I would update the GT;GT updated
2749893;1;text;GT updated;;;
34779037;0;text;GT needs to be done;test case?;GT is correct, match due to low text similarity threshold (added test case in project string-similarity);
37876734;1;text;GT updated;;;
38136787;1;text;GT updated;;;
33678952;1;text;GT updated;;;
31738071;1;text;GT updated;;;
7488478;1;text;GT updated;;;
39016820;1;text;GT updated;;;
33685540;1;text;GT updated;;;
3920776;1;text;GT updated;;;
15119106;0;text;matched predecessors are already equal to GT;;;
39552029;1;text;GT updated;;;
20586684;1;text;GT updated;;;
20038558;1;text;GT updated;4x;;
26446315;1;text;GT updated;;;
20786845;1;text;GT updated;;;
